time/fps,time/total_timesteps,time/time_elapsed,time/iterations,train/entropy_loss,train/clip_range,train/policy_gradient_loss,train/loss,train/learning_rate,train/n_updates,train/value_loss,train/std,train/explained_variance,train/clip_fraction,train/approx_kl
1942,1024,0,1,,,,,,,,,,,
1441,2048,1,2,-1.422088611125946,0.2,-0.006921274086926133,0.12420305609703064,0.0003,10,1.0451283775269986,1.0078970193862915,-0.01727139949798584,0.09375,0.009113206
1406,3072,2,3,-1.4252609029412269,0.2,-0.004446239254320972,-0.00026341527700424194,0.0003,20,0.023784280859399588,1.001870036125183,0.4970824718475342,0.01064453125,0.003913062
1392,4096,2,4,-1.418376938998699,0.2,-0.0012317022657953203,0.3391716182231903,0.0003,30,0.8119306627660989,0.9985891580581665,0.08321762084960938,0.00615234375,0.0030840375
1379,5120,3,5,-1.416041485965252,0.2,-0.005085900583071634,0.035709451884031296,0.0003,40,0.09604227305389941,0.9954431653022766,0.5997926890850067,0.030078125,0.0042330017
1365,6144,4,6,-1.4156775817275047,0.2,-0.013103919808054343,0.0005024410784244537,0.0003,50,0.049892082205042244,0.9990432858467102,0.7998977601528168,0.10205078125,0.009058747
1364,7168,5,7,-1.4116699278354645,0.2,-0.0070126228732988235,0.007489949464797974,0.0003,60,0.03706862615654245,0.9842438697814941,0.8661271184682846,0.02255859375,0.007461185
1363,8192,6,8,-1.406981347501278,0.2,-0.008247574814595282,-0.012347536161541939,0.0003,70,0.017587974545313044,0.9965704679489136,0.8208660036325455,0.0904296875,0.009910746
1361,9216,6,9,-1.4170957267284394,0.2,-0.007868948558461852,0.0047109234146773815,0.0003,80,0.01885290293721482,0.9989690184593201,0.7814995795488358,0.10517578125,0.0074170455
1355,10240,7,10,-1.4160016372799873,0.2,-0.0014403336448594929,0.0035756933502852917,0.0003,90,0.05771719308104366,0.9924401640892029,0.07907992601394653,0.01455078125,0.004428191
1356,11264,8,11,-1.410897795855999,0.2,-0.0013225607515778392,-0.0010593715123832226,0.0003,100,0.03999540819204413,0.992185115814209,-1.2246241569519043,0.023828125,0.004160939
1352,12288,9,12,-1.4144268468022347,0.2,-0.008064735407242552,-0.00790482945740223,0.0003,110,0.02108088180539198,0.9988695979118347,0.1815415620803833,0.09404296875,0.008616429
1350,13312,9,13,-1.4160565257072448,0.2,-0.021488970192149282,-0.023492271080613136,0.0003,120,0.0056591121625388045,0.9937496781349182,0.8484281152486801,0.16748046875,0.013144539
1349,14336,10,14,-1.413249097764492,0.2,-0.025965688237920403,-0.01167476549744606,0.0003,130,0.003435401146998629,0.9939348101615906,0.9355930164456367,0.16611328125,0.016838644
1341,15360,11,15,-1.4111423149704934,0.2,-0.020335301267914475,-0.026764797046780586,0.0003,140,0.0020048815858899616,0.9882304668426514,0.8419236540794373,0.1517578125,0.012169654
1336,16384,12,16,-1.4080628082156181,0.2,-0.0226705857552588,-0.05855640023946762,0.0003,150,0.0007281114681973122,0.9903404712677002,0.7434433698654175,0.19638671875,0.013534252
1335,17408,13,17,-1.414744997024536,0.2,-0.0007279591984115541,0.05315084755420685,0.0003,160,0.1452151320874691,1.0033754110336304,0.05429011583328247,0.00439453125,0.0029077576
1335,18432,13,18,-1.4216112986207008,0.2,-0.003810322965728119,0.023471714928746223,0.0003,170,0.08958837976679206,1.001307487487793,0.3864820599555969,0.0318359375,0.0044002896
1335,19456,14,19,-1.4149364620447158,0.2,-0.008952258416684344,0.0037937406450510025,0.0003,180,0.05626749158836901,0.9897152185440063,0.5739729702472687,0.0724609375,0.006383595
1321,20480,15,20,-1.4028320088982582,0.2,-0.014852430351311341,-0.003856364171952009,0.0003,190,0.005034778354456648,0.9766735434532166,0.9149451032280922,0.1087890625,0.009418245
